epoch,co2,temp,humid,count
1759234114,839,20.94911,83.52331,0
1759234144,838,20.7435,82.5391,0
1759234174,834,20.61532,82.09964,0
1759234204,830,20.49516,81.88297,0
1759234234,829,20.44976,81.73952,0
1759234264,835,20.3563,81.67239,0
1759234294,829,20.22011,81.32143,0
1759234324,824,20.11063,81.15511,0
1759234354,826,20.12665,81.53201,0
1759234384,823,20.20142,82.84428,0
1759234414,820,20.34829,83.4226,0
1759234444,818,20.41504,83.80713,0
1759234474,819,20.49249,84.15808,0
1759234504,821,20.62066,84.16876,0
1759234534,823,20.71145,84.34425,0
1759234564,819,20.80758,84.3946,0
1759234594,814,20.91974,84.35798,0
1759234624,810,20.97314,84.42359,0
1759234654,806,21.07729,84.63874,0
1759234684,805,21.10132,84.33662,0
1759234714,803,20.85031,83.04723,0
1759234744,804,20.60731,82.46586,0
1759234774,806,20.54589,82.3209,0
1759234804,802,20.4551,82.05692,0
1759234834,803,20.32425,81.92111,0
1759234864,800,20.2842,81.8616,0
1759234894,795,20.26284,81.54726,0
1759234924,790,20.15335,81.14748,0
1759234954,791,20.07324,81.11543,0
1759234984,792,20.14534,82.3682,0
1759235014,791,20.22011,83.45159,0
1759235044,791,20.33761,83.76288,0
1759235074,791,20.44442,84.06653,0
1759235104,785,20.51652,84.25422,0
1759235134,786,20.63935,84.36561,0
1759235164,782,20.73549,84.38392,0
1759235194,786,20.83696,84.44038,0
1759235224,782,20.93843,84.39002,0
1759235254,785,21.02121,84.52277,0
1759235284,780,21.06394,84.56245,0
1759235314,780,21.15473,84.72114,0
1759235344,783,21.19211,84.56092,0
1759235374,779,20.94644,83.56756,0
1759235404,777,20.75151,82.77409,0
1759235434,783,20.60998,82.52995,0
1759235464,783,20.44442,82.30564,0
